Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
U7IN-32TB 224xlarge,u7in-32tb.224xlarge,u7in-32tb,,Memory optimized,,32768 GiB,,,,,,,,,,0 units,896 vCPUs,36.57 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$360.987 hourly,$222.4564 hourly,,,$378.9966 hourly,$231.058 hourly,,,$361.112 hourly,$222.5163 hourly,,,$402.203 hourly,$263.6724 hourly,,,$397.086 hourly,$244.702 hourly,$417.3454 hourly,$278.8148 hourly,$509.723 hourly,$371.1924 hourly,$738.203 hourly,$599.6724 hourly,$376.1294 hourly,$237.5988 hourly,$468.507 hourly,$329.9764 hourly,$696.987 hourly,$558.4564 hourly,,,current,,,,,,,,,,
U7IN-24TB 224xlarge,u7in-24tb.224xlarge,u7in-24tb,,Memory optimized,,24576 GiB,,,,,,,,,,0 units,896 vCPUs,27.43 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$270.7313 hourly,$166.8368 hourly,,,$288.7409 hourly,$175.4384 hourly,,,$270.8563 hourly,$166.8967 hourly,,,$311.9473 hourly,$208.0528 hourly,,,$297.804 hourly,$183.52 hourly,$327.0897 hourly,$223.1952 hourly,$419.4673 hourly,$315.5728 hourly,$647.9473 hourly,$544.0528 hourly,$285.8737 hourly,$181.9792 hourly,$378.2513 hourly,$274.3568 hourly,$606.7313 hourly,$502.8368 hourly,,,current,,,,,,,,,,
U-24TB1 112xlarge,u-24tb1.112xlarge,u-24tb1,,Memory optimized,,24576 GiB,,,,,,,,,,0 units,448 vCPUs,54.86 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8280L (Cascade Lake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$218.40 hourly,,,,$227.4048 hourly,,,,$218.525 hourly,,,,$239.008 hourly,$134.5879 hourly,,,$70.176 hourly,,$246.5792 hourly,,$292.768 hourly,,$407.008 hourly,,$225.9712 hourly,,$272.16 hourly,,$386.40 hourly,,,,previous,,,,,,,,,,
U7IN-16TB 224xlarge,u7in-16tb.224xlarge,u7in-16tb,,Memory optimized,,16384 GiB,,,,,,,,,,0 units,896 vCPUs,18.29 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$180.4756 hourly,$111.2172 hourly,,,$198.4852 hourly,$119.8188 hourly,,,$180.6006 hourly,$111.2771 hourly,,,$221.6916 hourly,$152.4332 hourly,,,$198.523 hourly,$122.339 hourly,$236.834 hourly,$167.5756 hourly,$329.2116 hourly,$259.9532 hourly,$557.6916 hourly,$488.4332 hourly,$195.618 hourly,$126.3596 hourly,$287.9956 hourly,$218.7372 hourly,$516.4756 hourly,$447.2172 hourly,,,current,,,,,,,,,,
U-18TB1 112xlarge,u-18tb1.112xlarge,u-18tb1,,Memory optimized,,18432 GiB,,,,,,,,,,0 units,448 vCPUs,41.14 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8280L (Cascade Lake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$163.80 hourly,,,,$172.8048 hourly,,,,$163.925 hourly,,,,$184.408 hourly,$100.9409 hourly,,,$163.80 hourly,,$191.9792 hourly,,$238.168 hourly,,$352.408 hourly,,$171.3712 hourly,,$217.56 hourly,,$331.80 hourly,,,,previous,,,,,,,,,,
P6-B300 48xlarge,p6-b300.48xlarge,p6-b300,,GPU instance,,4096 GiB,,,,,,,,,,0 units,192 vCPUs,21.33 GiB/vCPU,8,NVIDIA B300,2100 GiB,10,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,,Yes,Yes,EBS only,,,x86_64,6400 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,Yes,Yes,Yes,Yes,Unknown,No,,$142.416 hourly,,$64.5207 hourly,$64.5207 hourly,$146.2752 hourly,,$66.3639 hourly,$66.3639 hourly,$142.541 hourly,,$64.6457 hourly,$64.6457 hourly,,,,,,,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
U7I-12TB 224xlarge,u7i-12tb.224xlarge,u7i-12tb,,Memory optimized,,12288 GiB,,,,,,,,,,0 units,896 vCPUs,13.71 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$125.5818 hourly,$77.4024 hourly,,,$143.5914 hourly,$95.412 hourly,,,$125.7068 hourly,$77.4623 hourly,,,$166.7978 hourly,$118.6184 hourly,,,$138.14 hourly,$85.143 hourly,$181.9402 hourly,$133.7608 hourly,$274.3178 hourly,$226.1384 hourly,$502.7978 hourly,$454.6184 hourly,$140.7242 hourly,$92.5448 hourly,$233.1018 hourly,$184.9224 hourly,$461.5818 hourly,$413.4024 hourly,,,current,,,,,,,,,,
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,p6-b200,"3,990,024.938",GPU instance,,2048 GiB,5600 MT/s,Yes,2,21,48,96,1021963 MB,320.0 MB,Yes,0 units,192 vCPUs,10.67 GiB/vCPU,8,NVIDIA B200,1440 GiB,10,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,,,,,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,3200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,1600,32,Yes,Yes,Yes,Yes,Unknown,No,,$113.9328 hourly,,$38.8339 hourly,$44.7074 hourly,$117.792 hourly,,$40.6771 hourly,$57.6584 hourly,$114.0578 hourly,,$38.9589 hourly,$55.9402 hourly,,,,,,,,,,,,,,,,,,,<5%,,current,"Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell",25.3°C,,,158.0W,158.0W,822 MHz,822 MHz,3996 MHz,1071 MHz
U-12TB1 112xlarge,u-12tb1.112xlarge,u-12tb1,,Memory optimized,,12288 GiB,,,,,,,,,,0 units,448 vCPUs,27.43 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$109.20 hourly,,,,$118.2048 hourly,,,,$109.325 hourly,,,,$129.808 hourly,$67.3054 hourly,,,$67.294 hourly,,$137.3792 hourly,,$183.568 hourly,,$297.808 hourly,,$116.7712 hourly,,$162.96 hourly,,$277.20 hourly,,,,previous,,,,,,,,,,
U7I-8TB 112xlarge,u7i-8tb.112xlarge,u7i-8tb,"8,540,382.538",Memory optimized,249.0 fps,8192 GiB,4800 MT/s,Yes,4,21,56,112,2061155 MB,105.0 MB,Yes,0 units,448 vCPUs,18.29 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$83.72 hourly,,,,$92.7248 hourly,,,,$83.845 hourly,,,,$104.328 hourly,,,,$92.092 hourly,,$111.8992 hourly,,$158.088 hourly,,$272.328 hourly,,$91.2912 hourly,,$137.48 hourly,,$251.72 hourly,,,,current,,,No,8.30x,,,,,,
